2021-01-23 00:00:19 |INFO  |http-nio-8081-exec-2 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-23 00:00:19 |INFO  |http-nio-8081-exec-2 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/video/get-by-id/1352645987694051329 GET
2021-01-23 00:00:19 |INFO  |http-nio-8081-exec-2 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.VideoController.getChapterById
2021-01-23 00:00:19 |INFO  |http-nio-8081-exec-2 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-5 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【DELETE】删除开始 -------------
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-5 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/video/delete/1352645987694051329 DELETE
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-5 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.VideoController.deleteOneById
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-5 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-3 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-3 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/chapter/nested-list/1350308978929516545 GET
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-3 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.ChapterController.getNestedListByAnimeId
2021-01-23 00:00:48 |INFO  |http-nio-8081-exec-3 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-23 00:00:49 |INFO  |http-nio-8081-exec-6 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-23 00:00:49 |INFO  |http-nio-8081-exec-6 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/video/get-by-id/1352645861009293314 GET
2021-01-23 00:00:49 |INFO  |http-nio-8081-exec-6 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.VideoController.getChapterById
2021-01-23 00:00:49 |INFO  |http-nio-8081-exec-6 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-23 00:00:56 |INFO  |http-nio-8081-exec-7 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【PUT】操作开始 -------------
2021-01-23 00:00:56 |INFO  |http-nio-8081-exec-7 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/video/update PUT
2021-01-23 00:00:56 |INFO  |http-nio-8081-exec-7 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.VideoController.updateById
2021-01-23 00:00:56 |INFO  |http-nio-8081-exec-7 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
