2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1c7a1c32 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3aeca58 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@58daaf1f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@140da3ba (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6d50b627 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@18595ddf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@15f6ab9c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6c1fcaeb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@496b8c1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:26:07 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@56f3ba29 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:29:24 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1efa94c6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
