2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@424ae552 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b12fe58 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@17f3b5c2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@11254d12 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2f7680e5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@ff96a1e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ae8386 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e5803fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2532dd7a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:25:52 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@61dfea58 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:30:04 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e25515a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
