2021-01-24 00:01:01 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@52053b42 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:01:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@214609eb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@387edc69 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@131d0f0f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@413f297 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4f015883 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53399d53 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2827854c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33bb4d95 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@763bce21 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-24 00:05:16 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@697716b0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
