2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1c5c9e69 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2a39e43f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@fd3000b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3b1e5d5b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@742f3e66 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@11d234c0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@616ada9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4f2bccb5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@42fa1738 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:18:17 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@428e5f93 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:30:33 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:30:33 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:36:11 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:36:11 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:37:14 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:37:14 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:43:05 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:43:05 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-26 00:50:34 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b060395 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@18dd0323 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@28ce01b3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@217e8ce6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f8d32f4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3ae4ca37 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@62ff8741 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@37332e44 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@312fb0c4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d0661a4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 00:57:02 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@335d2eca (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:26:52 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@cd60bfc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:26:52 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7b24c37e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@843c217 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f2f4fab (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53b26fb5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@79b9c0a2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23d42072 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@369371b4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@761c6f14 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@41171da5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43c27245 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 01:37:27 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ef1b558 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ecda908 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@58c78f86 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3a3f264f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@39b95de9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 13:09:03 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@74e59e10 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
