2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ceadff9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1fa69fa6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@347daa5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@431ac43a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@591cf7bd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72ec1897 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4fc3769d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5a6d404b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@64f2f5a4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 00:01:33 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76c8710d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 01:02:18 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1f63dd64 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 10:25:12 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4a2898ed (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 10:25:12 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3d22e35e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 10:25:12 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1a5a2b39 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@60b9a845 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7b62953 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b709f39 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@36b2823d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@55c2af23 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76be93fe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@144698b1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3910f1fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4074d0cb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 14:54:48 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b2a7597 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7edb3316 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23d98042 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@467ec707 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@611a0f5d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4412ec72 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b26af22 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1bd003be (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2a01877e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:25:21 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@79a39f30 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 18:21:38 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10356973 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
