2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5b9c55c4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33f47015 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@599313bc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@60185f3f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7de5e604 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6d815575 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2c4eb58a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e8df69b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5c8ae488 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:43:15 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3b472891 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@489b375e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@18200878 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1752606a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6628419 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2583fd41 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3df85241 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@392d34a4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
