2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1679e4b1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@641755fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@510e8686 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@88bac7a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ee72e3f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@30812eaa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@151eb48a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@40a3222f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@17626ad2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:27:32 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2e2fe2ea (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 00:49:18 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@179e48fa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
