2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63573d7b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9557bc9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3a54ef9a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@60b2b14e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2531401b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@718ec47 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1aadfb01 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f6011db (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@407eb5b4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:46:27 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c41328 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1ac5ac78 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4e354431 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@270ab335 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c1e356a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6cb38e48 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8434b23 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7aa2c205 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@779a1d5e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72b0c2b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 11:50:27 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@152355be (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5eaa9d79 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@15e610a3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@68e2ebcc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:29 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13389cf4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@64595fbe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@411f389e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:15:30 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e5c07fa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
