2021-01-27 15:09:57 |INFO  |http-nio-8180-exec-8 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【POST】操作开始 -------------
2021-01-27 15:09:57 |INFO  |http-nio-8180-exec-8 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://localhost:8180/admin/oss/file/upload POST
2021-01-27 15:09:57 |INFO  |http-nio-8180-exec-8 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.oss.controller.FileController.upload
2021-01-27 15:09:57 |INFO  |http-nio-8180-exec-8 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 0:0:0:0:0:0:0:1
2021-01-27 16:23:38 |INFO  |http-nio-8180-exec-1 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【POST】操作开始 -------------
2021-01-27 16:23:38 |INFO  |http-nio-8180-exec-1 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://localhost:8180/admin/oss/file/upload POST
2021-01-27 16:23:38 |INFO  |http-nio-8180-exec-1 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.oss.controller.FileController.upload
2021-01-27 16:23:38 |INFO  |http-nio-8180-exec-1 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 0:0:0:0:0:0:0:1
2021-01-27 16:45:52 |INFO  |http-nio-8180-exec-5 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【POST】操作开始 -------------
2021-01-27 16:45:52 |INFO  |http-nio-8180-exec-5 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://localhost:8180/admin/oss/file/upload POST
2021-01-27 16:45:52 |INFO  |http-nio-8180-exec-5 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.oss.controller.FileController.upload
2021-01-27 16:45:52 |INFO  |http-nio-8180-exec-5 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 0:0:0:0:0:0:0:1
2021-01-27 16:48:59 |INFO  |http-nio-8180-exec-9 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【POST】操作开始 -------------
2021-01-27 16:48:59 |INFO  |http-nio-8180-exec-9 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://localhost:8180/admin/oss/file/upload POST
2021-01-27 16:48:59 |INFO  |http-nio-8180-exec-9 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.oss.controller.FileController.upload
2021-01-27 16:48:59 |INFO  |http-nio-8180-exec-9 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 0:0:0:0:0:0:0:1
2021-01-27 16:49:09 |INFO  |http-nio-8180-exec-10 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【DELETE】删除开始 -------------
2021-01-27 16:49:09 |INFO  |http-nio-8180-exec-10 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://192.168.211.193:8180/admin/oss/file/delete DELETE
2021-01-27 16:49:09 |INFO  |http-nio-8180-exec-10 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.oss.controller.FileController.deleteFile
2021-01-27 16:49:09 |INFO  |http-nio-8180-exec-10 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 192.168.211.193
2021-01-27 18:48:17 |INFO  |http-nio-8180-exec-4 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【POST】操作开始 -------------
