2021-01-06 20:26:47 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 20:28:25 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 20:30:07 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 20:30:34 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 20:40:37 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 20:41:54 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 21:03:55 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 21:04:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 21:06:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 21:06:32 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 21:07:39 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 21:26:11 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 21:28:17 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 23:22:29 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
2021-01-06 23:24:46 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[cn.antigenmhc.otaku.service.*.mapper]' package. Please check your configuration.
